"nouvelle_region","nombre_provinces","provinces"
"Bankui",3,"Balé, Banwa, Mouhoun"
"Djôrô",4,"Bougouriba, Ioba, Noumbiel, Poni"
"Goulmou",2,"Gourma, Kompienga"
"Guiriko",3,"Houet, Kénédougou, Tuy"
"Kadiogo",1,"Kadiogo"
"Kuilsé",3,"Bam, Namentenga, Sandbondtenga"
"Liptako",3,"Oudalan, Séno, Yagha"
"Nakambé",3,"Boulgou, Koulpélogo, Kouritenga"
"Nando",4,"Boulkiemdé, Sanguié, Sissili, Ziro"
"Nazinon",3,"Bazèga, Nahouri, Zoundwéogo"
"Oubri",3,"Bassitenga, Ganzourgou, Kourwéogo"
"Sirba",2,"Gnagna, Komondjari"
"Soum",2,"Djelgodji, Karo-Peli"
"Sourou",3,"Koosin, Nayala, Sourou"
"Tannounyan",2,"Comoé, Léraba"
"Tapoa",2,"Dyamongou, Gobnangou"
"Yaadga",4,"Loroum, Passoré, Yatenga, Zondoma"
